iter	Passed	Remaining
580	3171	2287
581	3174	2280
582	3178	2273
583	3181	2266
584	3184	2259
585	3188	2252
586	3191	2245
587	3194	2238
588	3198	2231
589	3202	2225
590	3206	2218
591	3209	2212
592	3213	2205
593	3216	2198
594	3220	2192
595	3224	2185
596	3227	2178
597	3231	2172
598	3235	2166
599	3240	2160
600	3248	2156
601	3254	2151
602	3265	2150
603	3271	2144
604	3275	2138
605	3284	2135
606	3293	2132
607	3301	2128
608	3313	2127
609	3320	2123
610	3329	2119
611	3335	2114
612	3341	2109
613	3347	2104
614	3353	2099
615	3358	2093
616	3363	2087
617	3368	2082
618	3372	2076
619	3378	2070
620	3383	2065
621	3388	2059
622	3393	2053
623	3403	2050
624	3408	2045
625	3413	2039
626	3419	2034
627	3426	2029
628	3431	2023
629	3438	2019
630	3442	2013
631	3452	2010
632	3458	2005
633	3463	1999
634	3469	1994
635	3476	1989
636	3483	1985
637	3489	1980
638	3496	1975
639	3502	1970
640	3507	1964
641	3512	1958
642	3517	1952
643	3522	1947
644	3530	1942
645	3536	1937
646	3540	1931
647	3545	1925
648	3550	1920
649	3555	1914
650	3583	1920
651	3593	1918
652	3602	1914
653	3609	1909
654	3622	1907
655	3631	1904
656	3643	1901
657	3659	1902
658	3666	1897
659	3671	1891
660	3676	1885
661	3681	1879
662	3686	1874
663	3692	1868
664	3699	1863
665	3714	1862
666	3720	1857
667	3729	1853
668	3737	1848
669	3742	1843
670	3748	1837
671	3753	1832
672	3759	1826
673	3764	1821
674	3769	1814
675	3776	1810
676	3780	1803
677	3784	1797
678	3788	1790
679	3791	1784
680	3795	1777
681	3799	1771
682	3803	1765
683	3806	1758
684	3809	1751
685	3813	1745
686	3817	1739
687	3820	1732
688	3824	1726
689	3827	1719
690	3833	1714
691	3838	1708
692	3841	1701
693	3844	1695
694	3848	1689
695	3852	1682
696	3855	1676
697	3858	1669
698	3862	1663
699	3866	1657
700	3870	1650
701	3873	1644
702	3877	1637
703	3880	1631
704	3884	1625
705	3887	1618
706	3891	1612
707	3895	1606
708	3898	1600
709	3902	1593
710	3905	1587
711	3909	1581
712	3912	1574
713	3915	1568
714	3919	1562
715	3922	1555
716	3926	1549
717	3930	1543
718	3934	1537
719	3938	1531
720	3943	1525
721	3947	1520
722	3951	1514
723	3956	1508
724	3960	1502
725	3964	1496
726	3970	1490
727	3974	1484
728	3978	1478
729	3982	1473
730	3987	1467
731	3992	1461
732	3996	1455
733	4001	1450
734	4006	1444
735	4011	1438
736	4016	1433
737	4020	1427
738	4026	1421
739	4032	1416
740	4037	1411
741	4041	1405
742	4045	1399
743	4050	1393
744	4054	1387
745	4059	1382
746	4065	1376
747	4069	1371
748	4074	1365
749	4078	1359
750	4083	1353
751	4087	1348
752	4092	1342
753	4097	1336
754	4101	1330
755	4105	1324
756	4109	1319
757	4113	1313
758	4118	1307
759	4122	1301
760	4127	1296
761	4132	1290
762	4138	1285
763	4143	1279
764	4147	1274
765	4152	1268
766	4155	1262
767	4159	1256
768	4163	1250
769	4167	1244
770	4171	1238
771	4175	1233
772	4178	1227
773	4182	1221
774	4186	1215
775	4191	1209
776	4195	1204
777	4198	1198
778	4202	1192
779	4206	1186
780	4210	1180
781	4214	1175
782	4220	1169
783	4225	1164
784	4230	1158
785	4234	1152
786	4239	1147
787	4243	1141
788	4248	1136
789	4252	1130
790	4256	1124
791	4261	1119
792	4265	1113
793	4270	1107
794	4275	1102
795	4279	1096
796	4284	1091
797	4288	1085
798	4292	1079
799	4297	1074
800	4301	1068
801	4305	1062
802	4309	1057
803	4312	1051
804	4317	1045
805	4322	1040
806	4326	1034
807	4332	1029
808	4337	1024
809	4341	1018
810	4345	1012
811	4348	1006
812	4352	1001
813	4356	995
814	4361	989
815	4364	984
816	4368	978
817	4371	972
818	4375	966
819	4378	961
820	4381	955
821	4385	949
822	4389	943
823	4392	938
824	4396	932
825	4399	926
826	4403	921
827	4406	915
828	4410	909
829	4414	904
830	4418	898
831	4423	893
832	4426	887
833	4430	881
834	4433	876
835	4437	870
836	4440	864
837	4444	859
838	4447	853
839	4450	847
840	4454	842
841	4457	836
842	4461	830
843	4464	825
844	4468	819
845	4471	814
846	4475	808
847	4478	802
848	4482	797
849	4485	791
850	4488	785
851	4492	780
852	4496	774
853	4500	769
854	4503	763
855	4507	758
856	4510	752
857	4514	747
858	4518	741
859	4522	736
860	4527	730
861	4530	725
862	4534	719
863	4538	714
864	4541	708
865	4545	703
866	4548	697
867	4551	692
868	4554	686
869	4558	681
870	4562	675
871	4566	670
872	4569	664
873	4573	659
874	4576	653
875	4579	648
876	4583	642
877	4586	637
878	4590	631
879	4593	626
880	4597	620
881	4600	615
882	4604	610
883	4608	604
884	4611	599
885	4615	593
886	4619	588
887	4622	583
888	4626	577
889	4630	572
890	4634	566
891	4637	561
892	4641	556
893	4644	550
894	4648	545
895	4651	539
896	4655	534
897	4658	529
898	4662	523
899	4666	518
900	4669	513
901	4673	507
902	4676	502
903	4680	497
904	4684	491
905	4688	486
906	4691	481
907	4695	475
908	4698	470
909	4701	465
910	4705	459
911	4710	454
912	4714	449
913	4718	443
914	4722	438
915	4725	433
916	4729	428
917	4733	422
918	4736	417
919	4740	412
920	4743	406
921	4747	401
922	4750	396
923	4754	391
924	4757	385
925	4761	380
926	4764	375
927	4768	369
928	4771	364
929	4774	359
930	4778	354
931	4781	348
932	4784	343
933	4788	338
934	4791	333
935	4795	327
936	4798	322
937	4801	317
938	4805	312
939	4808	306
940	4812	301
941	4815	296
942	4820	291
943	4824	286
944	4828	281
945	4831	275
946	4835	270
947	4838	265
948	4842	260
949	4845	255
950	4849	249
951	4852	244
952	4856	239
953	4859	234
954	4862	229
955	4866	223
956	4869	218
957	4873	213
958	4876	208
959	4879	203
960	4882	198
961	4886	193
962	4889	187
963	4892	182
964	4896	177
965	4899	172
966	4902	167
967	4906	162
968	4909	157
969	4913	151
970	4916	146
971	4920	141
972	4923	136
973	4927	131
974	4931	126
975	4934	121
976	4938	116
977	4941	111
978	4945	106
979	4948	100
980	4952	95
981	4955	90
982	4959	85
983	4962	80
984	4966	75
985	4969	70
986	4972	65
987	4976	60
988	4979	55
989	4983	50
990	4987	45
991	4990	40
992	4993	35
993	4997	30
994	5000	25
995	5004	20
996	5007	15
997	5010	10
998	5014	5
999	5017	0
