iter	Passed	Remaining
894	1623	190
895	1624	188
896	1625	186
897	1627	184
898	1628	182
899	1629	181
900	1630	179
901	1632	177
902	1633	175
903	1634	173
904	1635	171
905	1636	169
906	1637	167
907	1638	166
908	1640	164
909	1641	162
910	1642	160
911	1643	158
912	1644	156
913	1645	154
914	1646	152
915	1648	151
916	1648	149
917	1650	147
918	1651	145
919	1652	143
920	1653	141
921	1655	140
922	1656	138
923	1657	136
924	1658	134
925	1659	132
926	1660	130
927	1661	128
928	1662	127
929	1663	125
930	1664	123
931	1665	121
932	1666	119
933	1667	117
934	1668	116
935	1669	114
936	1670	112
937	1672	110
938	1673	108
939	1674	106
940	1675	105
941	1676	103
942	1677	101
943	1678	99
944	1680	97
945	1681	95
946	1682	94
947	1683	92
948	1684	90
949	1685	88
950	1686	86
951	1688	85
952	1689	83
953	1690	81
954	1691	79
955	1692	77
956	1693	76
957	1694	74
958	1695	72
959	1696	70
960	1698	68
961	1699	67
962	1700	65
963	1701	63
964	1703	61
965	1704	59
966	1705	58
967	1706	56
968	1707	54
969	1708	52
970	1709	51
971	1710	49
972	1711	47
973	1712	45
974	1713	43
975	1715	42
976	1716	40
977	1717	38
978	1718	36
979	1720	35
980	1721	33
981	1722	31
982	1723	29
983	1725	28
984	1726	26
985	1727	24
986	1728	22
987	1729	21
988	1730	19
989	1731	17
990	1732	15
991	1733	13
992	1734	12
993	1735	10
994	1736	8
995	1737	6
996	1738	5
997	1739	3
998	1740	1
999	1741	0
