model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_2_AutoML_6_20250401_12303_model_2,6246.813706770812,39022681.48709969,3578.91710037915,3.3836190970154463,39022681.48709969
XGBoost_1_AutoML_6_20250401_12303,6249.752701434313,39059408.82908549,3328.9343113512864,3.315419044557582,39059408.82908549
GBM_grid_1_AutoML_6_20250401_12303_model_31,6252.298242705967,39091233.31574412,3405.4265258212963,3.35600485919752,39091233.31574412
GBM_grid_1_AutoML_6_20250401_12303_model_42,6253.077878525195,39100982.95490115,3425.4130374284628,3.368630436317067,39100982.95490115
GBM_grid_1_AutoML_6_20250401_12303_model_32,6253.719144398791,39109003.13701995,3490.519399190241,3.391908994392504,39109003.13701995
GBM_grid_1_AutoML_6_20250401_12303_model_10,6253.909204807752,39111380.34197913,3403.9012435749964,3.354409710329677,39111380.34197913
GBM_grid_1_AutoML_6_20250401_12303_model_36,6253.959019824558,39112003.42164495,3301.3352687186416,3.310449456452184,39112003.42164495
DeepLearning_grid_1_AutoML_6_20250401_12303_model_6,6260.2298386868015,39190477.633184575,3266.1026211577664,3.2354388010399115,39190477.633184575
GLM_1_AutoML_6_20250401_12303,6262.643470469912,39220703.23821943,3441.541758465379,3.378590419771234,39220703.23821943
GBM_grid_1_AutoML_6_20250401_12303_model_40,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_52,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_48,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_12,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_51,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_35,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_49,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_6_20250401_12303_model_55,6263.163404861959,39227215.83600205,3337.1820067173567,3.323376316109554,39227215.83600205
