seq_length,molecular_weight,nh3_tail,po3_pos,biotinylated,acylated_n_terminal,cyclic,amidated,stearyl_uptake,hexahistidine_tagged,aromaticity,instability_index,isoelectric_point,helix_fraction,turn_fraction,sheet_fraction,molar_extinction_coefficient_reduced,molar_extinction_coefficient_oxidized,gravy,is_cpp
25.0,2983.5503,0,0,0,0,0,0,0,0,0.08,79.27600000000001,9.114685249328613,0.48,0.12,0.36,1490.0,1490.0,-0.048000000000000015,0
17.0,1993.3159999999998,0,0,0,0,0,0,0,0,0.0,239.39411764705883,11.999967765808105,0.05882352941176471,0.29411764705882354,0.0,0.0,125.0,-1.7352941176470589,1
17.0,1596.7784,0,0,0,0,0,0,0,0,0.0,34.45882352941176,10.438543510437011,0.05882352941176471,0.5294117647058824,0.0,0.0,125.0,-0.7705882352941176,1
17.0,1458.5616,0,0,0,0,0,0,0,0,0.0,44.44705882352942,8.740639686584473,0.05882352941176471,0.6470588235294118,0.0,0.0,125.0,-0.33529411764705885,1
17.0,1320.3448,0,0,0,0,0,0,0,0,0.0,54.435294117647054,5.54557590484619,0.05882352941176471,0.7647058823529412,0.0,0.0,125.0,0.09999999999999998,1
31.0,3586.0155999999997,0,0,0,0,0,0,0,0,0.0967741935483871,44.80967741935483,4.110618782043456,0.4516129032258065,0.22580645161290322,0.22580645161290322,6990.0,7115.0,-0.4,0
24.0,2332.5271,0,0,0,0,0,0,0,0,0.0,11.491666666666669,4.137446784973144,0.45833333333333337,0.25,0.125,0.0,0.0,-0.07916666666666665,0
20.0,2249.3406,0,0,0,0,0,0,0,0,0.1,56.885,4.0500284194946286,0.25,0.45,0.30000000000000004,1490.0,1490.0,-0.45499999999999996,0
18.0,2011.3193999999999,0,0,0,0,0,0,0,0,0.0,34.63333333333334,4.679292869567871,0.5,0.16666666666666666,0.4444444444444444,0.0,0.0,-6.1679056923619804e-18,0
7.0,842.958,0,0,0,0,0,0,0,0,0.28571428571428575,-14.328571428571431,5.870979118347167,0.28571428571428575,0.28571428571428575,0.28571428571428575,1490.0,1490.0,-0.4571428571428572,0
10.0,1019.1700000000001,0,0,0,0,0,0,0,0,0.0,-10.86,4.0500284194946286,0.4,0.2,0.5,0.0,0.0,0.63,0
24.0,2820.1119999999996,0,0,0,0,0,0,0,0,0.125,51.15,4.316716957092285,0.2916666666666667,0.2916666666666667,0.4166666666666667,6990.0,6990.0,-0.6124999999999999,0
30.0,3208.5312999999996,0,0,0,0,0,0,0,0,0.1,30.983333333333334,4.139095115661621,0.23333333333333334,0.3666666666666667,0.43333333333333335,2980.0,2980.0,-0.06666666666666668,0
14.0,1688.9162,0,0,0,0,0,0,0,0,0.35714285714285715,70.80071428571429,4.0500284194946286,0.14285714285714288,0.35714285714285715,0.5714285714285715,2980.0,2980.0,0.5714285714285714,0
13.0,1509.7558999999999,0,0,0,0,0,0,0,0,0.0,22.099999999999998,10.903618431091306,0.5384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.0,-1.4692307692307693,1
7.0,801.8484,0,0,0,0,0,0,0,0,0.0,8.571428571428571,6.188481712341309,0.7142857142857143,0.0,0.0,0.0,0.0,-1.5142857142857142,0
25.0,2982.3554,0,0,0,0,0,0,0,0,0.08,59.25600000000001,8.632139396667483,0.52,0.08,0.28,11000.0,11000.0,-0.784,0
26.0,2624.98,0,0,0,0,0,0,0,0,0.0,-2.9269230769230767,4.7830808639526365,0.5769230769230769,0.2692307692307693,0.34615384615384615,0.0,0.0,0.09999999999999999,1
9.0,1070.2168,0,0,0,0,0,0,0,0,0.1111111111111111,8.88888888888889,6.103734779357908,0.5555555555555556,0.1111111111111111,0.3333333333333333,1490.0,1490.0,-0.9666666666666666,0
37.0,4168.6769,0,0,0,0,0,0,0,0,0.13513513513513511,4.043243243243245,4.0500284194946286,0.4054054054054054,0.24324324324324323,0.48648648648648646,13980.0,13980.0,0.28108108108108104,1
5.0,505.4764,0,0,0,0,0,0,0,0,0.0,46.52,4.2404390335083,0.8,0.2,0.0,0.0,0.0,-0.8400000000000001,0
16.0,1756.9314000000002,0,0,0,0,0,0,0,0,0.0,71.2375,5.499365806579589,0.5,0.1875,0.25,0.0,0.0,-0.91875,1
30.0,3316.7834999999995,0,0,0,0,0,0,0,0,0.06666666666666667,13.163333333333334,6.797966194152831,0.33333333333333337,0.23333333333333334,0.4,2980.0,2980.0,-0.1766666666666667,0
30.0,3290.8095000000003,0,0,0,0,0,0,0,0,0.0,35.083333333333336,6.338252449035645,0.4,0.16666666666666666,0.3333333333333333,0.0,125.0,0.25666666666666665,0
27.0,3435.9004999999997,0,0,0,0,0,0,0,0,0.25925925925925924,81.94444444444444,4.65127124786377,0.3333333333333333,0.2222222222222222,0.3333333333333333,22460.0,22460.0,-0.6333333333333334,0
30.0,3361.9278999999997,0,0,0,0,0,0,0,0,0.13333333333333333,25.27,6.262997627258301,0.26666666666666666,0.23333333333333334,0.5666666666666667,0.0,0.0,1.1166666666666667,0
33.0,3927.3917,0,0,0,0,0,0,0,0,0.15151515151515152,33.148484848484856,4.498658561706543,0.30303030303030304,0.18181818181818182,0.48484848484848486,1490.0,1490.0,0.054545454545454515,0
32.0,3408.6418,0,0,0,0,0,0,0,0,0.125,13.128124999999999,4.751421546936036,0.28125,0.40625,0.28125,2980.0,2980.0,-0.753125,0
14.0,1538.9143,0,0,0,0,0,0,0,0,0.07142857142857144,13.664285714285711,8.800917625427246,0.4285714285714286,0.07142857142857144,0.7142857142857144,0.0,0.0,1.7214285714285713,0
13.0,1538.79,0,0,0,0,0,0,0,0,0.3076923076923077,32.23846153846154,8.909095573425294,0.23076923076923078,0.23076923076923078,0.3846153846153846,5500.0,5625.0,0.08461538461538459,0
14.0,1639.8938999999998,0,0,0,0,0,0,0,0,0.2857142857142857,30.650000000000002,8.909095573425294,0.2142857142857143,0.2142857142857143,0.4285714285714286,5500.0,5625.0,0.02857142857142855,0
12.0,1222.3058999999998,0,0,0,0,0,0,0,0,0.16666666666666669,18.933333333333337,4.207870292663575,0.25,0.41666666666666674,0.25,0.0,0.0,0.10833333333333332,0
16.0,1565.6847,0,0,0,0,0,0,0,0,0.0625,34.5125,5.078188896179198,0.3125,0.4375,0.3125,5500.0,5500.0,0.11249999999999998,0
15.0,1697.9386,0,0,0,0,0,0,0,0,0.0,149.96666666666664,9.56054859161377,0.26666666666666666,0.33333333333333337,0.2,0.0,0.0,-0.9800000000000001,0
32.0,3522.0033,0,0,0,0,0,0,0,0,0.09375,32.259375,10.464459800720213,0.28125,0.28125,0.3125,1490.0,1490.0,-0.4,0
26.0,2599.9786,0,0,0,0,0,0,0,0,0.038461538461538464,25.826923076923087,9.994936561584474,0.5,0.38461538461538464,0.34615384615384615,5500.0,5500.0,0.31153846153846154,0
